INFO 2025-01-15 10:17:09,296 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 10:17:11,862 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 10:32:24,352 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 10:32:26,461 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 10:34:31,654 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 10:38:26,150 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 10:38:29,085 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 11:25:56,361 NE_RS_UNBLDRE: Unable to load application resource file /resources/sounds/green.mp3 api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 11:25:56,365 NE_RS_UNBLDRE: Unable to load application resource file /resources/sounds/wrong.mp3 api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 11:25:58,988 NE_RS_UNBLDRE: Unable to load application resource file /resources/sounds/green.mp3 api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 11:26:00,625 NE_RS_UNBLDRE: Unable to load application resource file /resources/sounds/green.mp3 api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 11:26:01,326 NE_RS_UNBLDRE: Unable to load application resource file /resources/sounds/blue.mp3 api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 11:26:03,060 NE_RS_UNBLDRE: Unable to load application resource file /resources/sounds/blue.mp3 api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 11:26:03,060 NE_RS_UNBLDRE: Unable to load application resource file /resources/sounds/wrong.mp3 api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 12:55:24,849 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 12:55:27,539 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 19:51:28,597 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 19:51:31,752 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 19:59:13,539 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 19:59:16,387 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 22:29:07,003 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 22:29:11,441 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 22:59:52,205 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 22:59:54,198 NE_RS_UNBLDRE: Unable to load application resource file /resources/neutralino.js api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 22:59:54,832 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 23:05:16,893 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 23:05:19,375 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 23:10:37,777 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 23:10:39,807 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 23:27:11,560 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 23:27:15,006 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 23:27:45,443 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 23:27:47,473 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 23:38:21,306 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 23:38:23,598 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-15 23:44:29,483 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-15 23:44:31,766 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:19:43,859 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:19:48,431 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:20:15,927 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:20:18,616 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:21:51,631 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:21:59,232 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:22:01,687 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:23:15,736 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:23:21,645 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:23:25,032 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:25:02,587 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:25:10,054 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:25:13,630 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:26:51,702 Reloading the application... api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
INFO 2025-01-16 00:27:04,542 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 KRISH@LAPTOP-CTOD3IND
ERROR 2025-01-16 00:27:07,223 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 KRISH@LAPTOP-CTOD3IND
